# Magnus solar model B16-AGSS09met
#
# Reference:  N. Vinyoles, A. M. Serenelli, F. L. Villante, S. Basu, J. Bergström, M. C. Gonzalez-Garcia, M. Maltoni, C. Peña-Garay and N. Song, "A new generation of standard solar models", ApJ 835, 202 (2017), doi:10.3847/1538-4357/835/2/202, arXiv:1611.09867
# Source:     https://web.archive.org/web/20220701141642/https://www.ice.csic.es/personal/aldos/Solar_Data_files/struct_b16_agss09.dat
# Original:   struct_b16_agss09.dat
# Retrieved:  2022-07-01 capture, from http://www.ice.csic.es/personal/aldos/Solar_Data.html (offline since at least 2026; the Internet Archive holds it)
# SHA-256:    bd1add510bfe32f120ab6d858e25a0bbabfae11839bad0ce53d0da5b71ee7d2c (of struct_b16_agss09.dat)
# Terms:      No terms stated on the authors' page; cite Vinyoles et al. (2017).
# Modified:   columns extracted only -- radius [R_sun], rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#   # B16: A new Generation of Standard Solar Models
#   # arxiv:1611.09867
#   #
#   # Structure and detailed composition of the AGSS09met model
#   # Mass, radius and luminosity are normalized
#   # T, rho, P in cgs
#   # Abundances in mass fraction
#   #
#   #  Mass     Radius     Temp      Rho       Pres       Lumi      H1       He4      He3       C12       C13       N14        N15      O16       O17       O18        Ne        Na       Mg         Al        Si         P       S         Cl        Ar        K         Ca        Sc         Ti        V         Cr        Mn        Fe        Co        Ni
#
# r_over_r_sun  rho_g_per_cm3  x_hydrogen
0.00050  1.489e+02  0.36230
0.00100  1.489e+02  0.36232
0.00150  1.489e+02  0.36235
0.00200  1.489e+02  0.36239
0.00250  1.488e+02  0.36245
0.00300  1.488e+02  0.36252
0.00350  1.488e+02  0.36261
0.00400  1.487e+02  0.36272
0.00450  1.487e+02  0.36284
0.00500  1.486e+02  0.36298
0.00550  1.486e+02  0.36313
0.00600  1.485e+02  0.36330
0.00650  1.485e+02  0.36348
0.00700  1.484e+02  0.36368
0.00750  1.483e+02  0.36388
0.00800  1.482e+02  0.36411
0.00850  1.481e+02  0.36435
0.00900  1.480e+02  0.36460
0.00950  1.479e+02  0.36487
0.01000  1.478e+02  0.36515
0.01050  1.477e+02  0.36545
0.01100  1.476e+02  0.36576
0.01150  1.475e+02  0.36608
0.01200  1.473e+02  0.36642
0.01250  1.472e+02  0.36677
0.01300  1.471e+02  0.36714
0.01350  1.469e+02  0.36752
0.01400  1.468e+02  0.36791
0.01450  1.466e+02  0.36832
0.01500  1.465e+02  0.36874
0.01550  1.463e+02  0.36918
0.01600  1.462e+02  0.36962
0.01650  1.460e+02  0.37009
0.01700  1.458e+02  0.37056
0.01750  1.456e+02  0.37105
0.01800  1.454e+02  0.37156
0.01850  1.452e+02  0.37207
0.01900  1.450e+02  0.37260
0.01950  1.448e+02  0.37314
0.02000  1.446e+02  0.37370
0.02050  1.444e+02  0.37427
0.02100  1.442e+02  0.37485
0.02150  1.440e+02  0.37545
0.02200  1.438e+02  0.37605
0.02250  1.436e+02  0.37667
0.02300  1.433e+02  0.37731
0.02350  1.431e+02  0.37795
0.02400  1.428e+02  0.37861
0.02450  1.426e+02  0.37928
0.02500  1.424e+02  0.37996
0.02550  1.421e+02  0.38066
0.02600  1.418e+02  0.38136
0.02650  1.416e+02  0.38208
0.02700  1.413e+02  0.38281
0.02750  1.410e+02  0.38356
0.02800  1.408e+02  0.38431
0.02850  1.405e+02  0.38508
0.02900  1.402e+02  0.38585
0.02950  1.399e+02  0.38664
0.03000  1.397e+02  0.38744
0.03050  1.394e+02  0.38825
0.03100  1.391e+02  0.38908
0.03150  1.388e+02  0.38991
0.03200  1.385e+02  0.39075
0.03250  1.382e+02  0.39161
0.03300  1.379e+02  0.39247
0.03350  1.376e+02  0.39335
0.03400  1.372e+02  0.39424
0.03450  1.369e+02  0.39513
0.03500  1.366e+02  0.39604
0.03550  1.363e+02  0.39696
0.03600  1.360e+02  0.39789
0.03650  1.356e+02  0.39882
0.03700  1.353e+02  0.39977
0.03750  1.350e+02  0.40073
0.03800  1.346e+02  0.40169
0.03850  1.343e+02  0.40267
0.03900  1.339e+02  0.40365
0.03950  1.336e+02  0.40465
0.04000  1.332e+02  0.40565
0.04050  1.329e+02  0.40666
0.04100  1.325e+02  0.40768
0.04150  1.322e+02  0.40871
0.04200  1.318e+02  0.40975
0.04250  1.315e+02  0.41079
0.04300  1.311e+02  0.41185
0.04350  1.307e+02  0.41291
0.04400  1.304e+02  0.41398
0.04450  1.300e+02  0.41506
0.04500  1.296e+02  0.41614
0.04550  1.293e+02  0.41724
0.04600  1.289e+02  0.41834
0.04650  1.285e+02  0.41945
0.04700  1.281e+02  0.42056
0.04750  1.278e+02  0.42168
0.04800  1.274e+02  0.42281
0.04850  1.270e+02  0.42395
0.04900  1.266e+02  0.42509
0.04950  1.262e+02  0.42624
0.05000  1.258e+02  0.42740
0.05050  1.255e+02  0.42856
0.05100  1.251e+02  0.42973
0.05150  1.247e+02  0.43090
0.05200  1.243e+02  0.43208
0.05250  1.239e+02  0.43327
0.05300  1.235e+02  0.43446
0.05350  1.231e+02  0.43566
0.05400  1.227e+02  0.43686
0.05450  1.223e+02  0.43807
0.05500  1.219e+02  0.43928
0.05550  1.215e+02  0.44050
0.05600  1.211e+02  0.44173
0.05650  1.207e+02  0.44295
0.05700  1.203e+02  0.44419
0.05750  1.199e+02  0.44542
0.05800  1.195e+02  0.44667
0.05850  1.191e+02  0.44791
0.05900  1.187e+02  0.44916
0.05950  1.183e+02  0.45042
0.06000  1.179e+02  0.45167
0.06050  1.175e+02  0.45293
0.06100  1.171e+02  0.45420
0.06150  1.167e+02  0.45547
0.06200  1.163e+02  0.45674
0.06250  1.159e+02  0.45802
0.06300  1.155e+02  0.45930
0.06350  1.151e+02  0.46058
0.06400  1.147e+02  0.46186
0.06450  1.142e+02  0.46315
0.06500  1.138e+02  0.46444
0.06550  1.134e+02  0.46573
0.06600  1.130e+02  0.46703
0.06650  1.126e+02  0.46833
0.06700  1.122e+02  0.46963
0.06750  1.118e+02  0.47093
0.06800  1.114e+02  0.47223
0.06850  1.110e+02  0.47354
0.06900  1.106e+02  0.47485
0.06950  1.102e+02  0.47616
0.07000  1.098e+02  0.47747
0.07050  1.094e+02  0.47878
0.07100  1.090e+02  0.48010
0.07150  1.086e+02  0.48141
0.07200  1.081e+02  0.48273
0.07250  1.077e+02  0.48404
0.07300  1.073e+02  0.48536
0.07350  1.069e+02  0.48668
0.07400  1.065e+02  0.48800
0.07450  1.061e+02  0.48932
0.07500  1.057e+02  0.49064
0.07550  1.053e+02  0.49196
0.07600  1.049e+02  0.49328
0.07650  1.045e+02  0.49460
0.07700  1.041e+02  0.49592
0.07750  1.037e+02  0.49724
0.07800  1.033e+02  0.49856
0.07850  1.029e+02  0.49988
0.07900  1.025e+02  0.50120
0.07950  1.021e+02  0.50252
0.08000  1.017e+02  0.50384
0.08050  1.013e+02  0.50516
0.08100  1.009e+02  0.50647
0.08150  1.005e+02  0.50779
0.08200  1.001e+02  0.50910
0.08250  9.974e+01  0.51041
0.08300  9.934e+01  0.51173
0.08350  9.895e+01  0.51304
0.08400  9.856e+01  0.51435
0.08450  9.817e+01  0.51565
0.08500  9.778e+01  0.51696
0.08550  9.739e+01  0.51826
0.08600  9.700e+01  0.51957
0.08650  9.661e+01  0.52087
0.08700  9.623e+01  0.52216
0.08750  9.584e+01  0.52346
0.08800  9.546e+01  0.52476
0.08850  9.507e+01  0.52605
0.08900  9.469e+01  0.52734
0.08950  9.431e+01  0.52862
0.09000  9.393e+01  0.52991
0.09050  9.355e+01  0.53119
0.09100  9.317e+01  0.53247
0.09150  9.279e+01  0.53374
0.09200  9.241e+01  0.53502
0.09250  9.204e+01  0.53629
0.09300  9.166e+01  0.53756
0.09350  9.129e+01  0.53882
0.09400  9.091e+01  0.54008
0.09450  9.054e+01  0.54134
0.09500  9.017e+01  0.54259
0.09550  8.980e+01  0.54385
0.09600  8.943e+01  0.54509
0.09650  8.907e+01  0.54634
0.09700  8.870e+01  0.54758
0.09750  8.833e+01  0.54882
0.09800  8.797e+01  0.55005
0.09850  8.761e+01  0.55128
0.09900  8.724e+01  0.55251
0.09950  8.688e+01  0.55373
0.10000  8.652e+01  0.55495
0.10050  8.616e+01  0.55617
0.10100  8.581e+01  0.55738
0.10150  8.545e+01  0.55859
0.10200  8.509e+01  0.55979
0.10250  8.474e+01  0.56099
0.10300  8.439e+01  0.56218
0.10350  8.403e+01  0.56337
0.10400  8.368e+01  0.56456
0.10450  8.333e+01  0.56574
0.10500  8.298e+01  0.56692
0.10550  8.264e+01  0.56809
0.10600  8.229e+01  0.56926
0.10650  8.194e+01  0.57042
0.10700  8.160e+01  0.57158
0.10750  8.126e+01  0.57274
0.10800  8.091e+01  0.57389
0.10850  8.057e+01  0.57504
0.10900  8.023e+01  0.57618
0.10950  7.989e+01  0.57731
0.11000  7.956e+01  0.57845
0.11050  7.922e+01  0.57957
0.11100  7.889e+01  0.58069
0.11150  7.855e+01  0.58181
0.11200  7.822e+01  0.58292
0.11250  7.789e+01  0.58403
0.11300  7.756e+01  0.58513
0.11350  7.723e+01  0.58623
0.11400  7.690e+01  0.58732
0.11450  7.657e+01  0.58841
0.11500  7.625e+01  0.58949
0.11550  7.592e+01  0.59057
0.11600  7.560e+01  0.59164
0.11650  7.527e+01  0.59271
0.11700  7.495e+01  0.59377
0.11750  7.463e+01  0.59483
0.11800  7.431e+01  0.59588
0.11850  7.399e+01  0.59692
0.11900  7.368e+01  0.59796
0.11950  7.336e+01  0.59900
0.12000  7.305e+01  0.60003
0.12050  7.273e+01  0.60105
0.12100  7.242e+01  0.60207
0.12150  7.211e+01  0.60309
0.12200  7.180e+01  0.60409
0.12250  7.149e+01  0.60510
0.12300  7.118e+01  0.60609
0.12350  7.088e+01  0.60709
0.12400  7.057e+01  0.60807
0.12450  7.026e+01  0.60905
0.12500  6.996e+01  0.61003
0.12550  6.966e+01  0.61100
0.12600  6.936e+01  0.61196
0.12650  6.906e+01  0.61292
0.12700  6.876e+01  0.61387
0.12750  6.846e+01  0.61482
0.12800  6.816e+01  0.61576
0.12850  6.787e+01  0.61670
0.12900  6.757e+01  0.61763
0.12950  6.728e+01  0.61856
0.13000  6.698e+01  0.61948
0.13050  6.669e+01  0.62039
0.13100  6.640e+01  0.62130
0.13150  6.611e+01  0.62220
0.13200  6.582e+01  0.62310
0.13250  6.554e+01  0.62399
0.13300  6.525e+01  0.62488
0.13350  6.497e+01  0.62576
0.13400  6.468e+01  0.62663
0.13450  6.440e+01  0.62750
0.13500  6.412e+01  0.62837
0.13550  6.384e+01  0.62923
0.13600  6.356e+01  0.63008
0.13650  6.328e+01  0.63093
0.13700  6.300e+01  0.63177
0.13750  6.272e+01  0.63261
0.13800  6.245e+01  0.63344
0.13850  6.217e+01  0.63426
0.13900  6.190e+01  0.63508
0.13950  6.163e+01  0.63590
0.14000  6.135e+01  0.63670
0.14050  6.108e+01  0.63751
0.14100  6.081e+01  0.63831
0.14150  6.055e+01  0.63910
0.14200  6.028e+01  0.63989
0.14250  6.001e+01  0.64067
0.14300  5.975e+01  0.64145
0.14350  5.948e+01  0.64222
0.14400  5.922e+01  0.64298
0.14450  5.895e+01  0.64374
0.14500  5.869e+01  0.64450
0.14550  5.843e+01  0.64525
0.14600  5.817e+01  0.64599
0.14650  5.791e+01  0.64673
0.14700  5.766e+01  0.64747
0.14750  5.740e+01  0.64820
0.14800  5.714e+01  0.64892
0.14850  5.689e+01  0.64964
0.14900  5.663e+01  0.65035
0.14950  5.638e+01  0.65106
0.15000  5.613e+01  0.65176
0.15050  5.588e+01  0.65246
0.15100  5.563e+01  0.65316
0.15150  5.538e+01  0.65384
0.15200  5.513e+01  0.65453
0.15250  5.488e+01  0.65520
0.15300  5.463e+01  0.65588
0.15350  5.439e+01  0.65655
0.15400  5.414e+01  0.65721
0.15450  5.390e+01  0.65786
0.15500  5.366e+01  0.65852
0.15550  5.341e+01  0.65917
0.15600  5.317e+01  0.65981
0.15650  5.293e+01  0.66045
0.15700  5.269e+01  0.66108
0.15750  5.246e+01  0.66171
0.15800  5.222e+01  0.66233
0.15850  5.198e+01  0.66295
0.15900  5.175e+01  0.66356
0.15950  5.151e+01  0.66417
0.16000  5.128e+01  0.66477
0.16050  5.104e+01  0.66537
0.16100  5.081e+01  0.66596
0.16150  5.058e+01  0.66655
0.16200  5.035e+01  0.66714
0.16250  5.012e+01  0.66771
0.16300  4.989e+01  0.66829
0.16350  4.966e+01  0.66886
0.16400  4.943e+01  0.66942
0.16450  4.921e+01  0.66998
0.16500  4.898e+01  0.67054
0.16550  4.876e+01  0.67109
0.16600  4.853e+01  0.67163
0.16650  4.831e+01  0.67217
0.16700  4.809e+01  0.67271
0.16750  4.787e+01  0.67324
0.16800  4.765e+01  0.67377
0.16850  4.743e+01  0.67429
0.16900  4.721e+01  0.67481
0.16950  4.699e+01  0.67532
0.17000  4.677e+01  0.67583
0.17050  4.656e+01  0.67633
0.17100  4.634e+01  0.67683
0.17150  4.613e+01  0.67733
0.17200  4.591e+01  0.67782
0.17250  4.570e+01  0.67831
0.17300  4.549e+01  0.67879
0.17350  4.527e+01  0.67927
0.17400  4.506e+01  0.67974
0.17450  4.485e+01  0.68021
0.17500  4.464e+01  0.68067
0.17550  4.444e+01  0.68113
0.17600  4.423e+01  0.68159
0.17650  4.402e+01  0.68204
0.17700  4.382e+01  0.68249
0.17750  4.361e+01  0.68293
0.17800  4.341e+01  0.68337
0.17850  4.320e+01  0.68380
0.17900  4.300e+01  0.68423
0.17950  4.280e+01  0.68466
0.18000  4.260e+01  0.68508
0.18050  4.240e+01  0.68550
0.18100  4.220e+01  0.68592
0.18150  4.200e+01  0.68633
0.18200  4.180e+01  0.68673
0.18250  4.160e+01  0.68714
0.18300  4.140e+01  0.68754
0.18350  4.121e+01  0.68793
0.18400  4.101e+01  0.68832
0.18450  4.082e+01  0.68871
0.18500  4.062e+01  0.68910
0.18550  4.043e+01  0.68948
0.18600  4.024e+01  0.68985
0.18650  4.005e+01  0.69023
0.18700  3.986e+01  0.69060
0.18750  3.967e+01  0.69096
0.18800  3.948e+01  0.69132
0.18850  3.929e+01  0.69168
0.18900  3.910e+01  0.69204
0.18950  3.891e+01  0.69239
0.19000  3.873e+01  0.69274
0.19050  3.854e+01  0.69308
0.19100  3.835e+01  0.69343
0.19150  3.817e+01  0.69376
0.19200  3.799e+01  0.69410
0.19250  3.780e+01  0.69443
0.19300  3.762e+01  0.69476
0.19350  3.744e+01  0.69508
0.19400  3.726e+01  0.69540
0.19450  3.708e+01  0.69572
0.19500  3.690e+01  0.69604
0.19550  3.672e+01  0.69635
0.19600  3.654e+01  0.69666
0.19650  3.636e+01  0.69696
0.19700  3.619e+01  0.69727
0.19750  3.601e+01  0.69757
0.19800  3.584e+01  0.69786
0.19850  3.566e+01  0.69816
0.19900  3.549e+01  0.69845
