# Magnus solar model B16-GS98
#
# Reference:  N. Vinyoles, A. M. Serenelli, F. L. Villante, S. Basu, J. Bergström, M. C. Gonzalez-Garcia, M. Maltoni, C. Peña-Garay and N. Song, "A new generation of standard solar models", ApJ 835, 202 (2017), doi:10.3847/1538-4357/835/2/202, arXiv:1611.09867
# Source:     https://web.archive.org/web/20220701130350/https://www.ice.csic.es/personal/aldos/Solar_Data_files/struct_b16_gs98.dat
# Original:   struct_b16_gs98.dat
# Retrieved:  2022-07-01 capture, from http://www.ice.csic.es/personal/aldos/Solar_Data.html (offline since at least 2026; the Internet Archive holds it)
# SHA-256:    ac9a1bdfd72699bd3d702d90b95ad853618b563475e072c9748a9e7e375f3f33 (of struct_b16_gs98.dat)
# Terms:      No terms stated on the authors' page; cite Vinyoles et al. (2017).
# Modified:   columns extracted only -- radius [R_sun], rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#   # B16: A new Generation of Standard Solar Models
#   # arxiv:1611.09867
#   #
#   # Structure and detailed composition of the GS98 model
#   # Mass, radius and luminosity are normalized
#   # T, rho, P in cgs
#   # Abundances in mass fraction
#   #
#   #  Mass     Radius     Temp      Rho       Pres       Lumi      H1       He4      He3       C12       C13       N14        N15      O16       O17       O18        Ne        Na       Mg         Al        Si         P       S         Cl        Ar        K         Ca        Sc         Ti        V         Cr        Mn        Fe        Co        Ni
#
# r_over_r_sun  rho_g_per_cm3  x_hydrogen
0.00050  1.508e+02  0.34715
0.00100  1.508e+02  0.34718
0.00150  1.508e+02  0.34720
0.00200  1.508e+02  0.34725
0.00250  1.507e+02  0.34731
0.00300  1.507e+02  0.34738
0.00350  1.507e+02  0.34748
0.00400  1.506e+02  0.34759
0.00450  1.506e+02  0.34771
0.00500  1.505e+02  0.34785
0.00550  1.505e+02  0.34801
0.00600  1.504e+02  0.34818
0.00650  1.503e+02  0.34836
0.00700  1.502e+02  0.34856
0.00750  1.502e+02  0.34877
0.00800  1.501e+02  0.34900
0.00850  1.500e+02  0.34925
0.00900  1.499e+02  0.34950
0.00950  1.498e+02  0.34978
0.01000  1.497e+02  0.35006
0.01050  1.496e+02  0.35037
0.01100  1.494e+02  0.35068
0.01150  1.493e+02  0.35101
0.01200  1.492e+02  0.35136
0.01250  1.490e+02  0.35172
0.01300  1.489e+02  0.35209
0.01350  1.487e+02  0.35248
0.01400  1.486e+02  0.35288
0.01450  1.484e+02  0.35330
0.01500  1.483e+02  0.35373
0.01550  1.481e+02  0.35417
0.01600  1.479e+02  0.35463
0.01650  1.478e+02  0.35510
0.01700  1.476e+02  0.35558
0.01750  1.474e+02  0.35608
0.01800  1.472e+02  0.35659
0.01850  1.470e+02  0.35712
0.01900  1.468e+02  0.35766
0.01950  1.466e+02  0.35821
0.02000  1.464e+02  0.35878
0.02050  1.461e+02  0.35936
0.02100  1.459e+02  0.35995
0.02150  1.457e+02  0.36056
0.02200  1.455e+02  0.36117
0.02250  1.452e+02  0.36181
0.02300  1.450e+02  0.36245
0.02350  1.447e+02  0.36311
0.02400  1.445e+02  0.36378
0.02450  1.442e+02  0.36446
0.02500  1.440e+02  0.36515
0.02550  1.437e+02  0.36586
0.02600  1.435e+02  0.36658
0.02650  1.432e+02  0.36731
0.02700  1.429e+02  0.36806
0.02750  1.426e+02  0.36881
0.02800  1.424e+02  0.36958
0.02850  1.421e+02  0.37036
0.02900  1.418e+02  0.37115
0.02950  1.415e+02  0.37195
0.03000  1.412e+02  0.37276
0.03050  1.409e+02  0.37359
0.03100  1.406e+02  0.37442
0.03150  1.403e+02  0.37527
0.03200  1.400e+02  0.37613
0.03250  1.397e+02  0.37700
0.03300  1.393e+02  0.37788
0.03350  1.390e+02  0.37877
0.03400  1.387e+02  0.37967
0.03450  1.384e+02  0.38058
0.03500  1.380e+02  0.38150
0.03550  1.377e+02  0.38243
0.03600  1.374e+02  0.38337
0.03650  1.370e+02  0.38433
0.03700  1.367e+02  0.38529
0.03750  1.363e+02  0.38626
0.03800  1.360e+02  0.38724
0.03850  1.356e+02  0.38823
0.03900  1.353e+02  0.38923
0.03950  1.349e+02  0.39024
0.04000  1.346e+02  0.39125
0.04050  1.342e+02  0.39228
0.04100  1.338e+02  0.39331
0.04150  1.335e+02  0.39436
0.04200  1.331e+02  0.39541
0.04250  1.327e+02  0.39647
0.04300  1.324e+02  0.39754
0.04350  1.320e+02  0.39862
0.04400  1.316e+02  0.39970
0.04450  1.312e+02  0.40079
0.04500  1.309e+02  0.40189
0.04550  1.305e+02  0.40300
0.04600  1.301e+02  0.40411
0.04650  1.297e+02  0.40524
0.04700  1.293e+02  0.40637
0.04750  1.289e+02  0.40750
0.04800  1.285e+02  0.40865
0.04850  1.281e+02  0.40980
0.04900  1.277e+02  0.41096
0.04950  1.273e+02  0.41212
0.05000  1.270e+02  0.41329
0.05050  1.266e+02  0.41446
0.05100  1.262e+02  0.41565
0.05150  1.258e+02  0.41683
0.05200  1.253e+02  0.41803
0.05250  1.249e+02  0.41923
0.05300  1.245e+02  0.42043
0.05350  1.241e+02  0.42164
0.05400  1.237e+02  0.42286
0.05450  1.233e+02  0.42408
0.05500  1.229e+02  0.42530
0.05550  1.225e+02  0.42653
0.05600  1.221e+02  0.42777
0.05650  1.217e+02  0.42901
0.05700  1.213e+02  0.43025
0.05750  1.209e+02  0.43150
0.05800  1.204e+02  0.43275
0.05850  1.200e+02  0.43401
0.05900  1.196e+02  0.43527
0.05950  1.192e+02  0.43654
0.06000  1.188e+02  0.43780
0.06050  1.184e+02  0.43908
0.06100  1.180e+02  0.44035
0.06150  1.175e+02  0.44163
0.06200  1.171e+02  0.44291
0.06250  1.167e+02  0.44420
0.06300  1.163e+02  0.44549
0.06350  1.159e+02  0.44678
0.06400  1.155e+02  0.44807
0.06450  1.150e+02  0.44937
0.06500  1.146e+02  0.45067
0.06550  1.142e+02  0.45197
0.06600  1.138e+02  0.45327
0.06650  1.134e+02  0.45458
0.06700  1.130e+02  0.45588
0.06750  1.125e+02  0.45719
0.06800  1.121e+02  0.45850
0.06850  1.117e+02  0.45982
0.06900  1.113e+02  0.46113
0.06950  1.109e+02  0.46245
0.07000  1.105e+02  0.46377
0.07050  1.100e+02  0.46508
0.07100  1.096e+02  0.46640
0.07150  1.092e+02  0.46772
0.07200  1.088e+02  0.46905
0.07250  1.084e+02  0.47037
0.07300  1.080e+02  0.47169
0.07350  1.076e+02  0.47301
0.07400  1.071e+02  0.47434
0.07450  1.067e+02  0.47566
0.07500  1.063e+02  0.47699
0.07550  1.059e+02  0.47831
0.07600  1.055e+02  0.47964
0.07650  1.051e+02  0.48096
0.07700  1.047e+02  0.48228
0.07750  1.043e+02  0.48361
0.07800  1.039e+02  0.48493
0.07850  1.034e+02  0.48625
0.07900  1.030e+02  0.48758
0.07950  1.026e+02  0.48890
0.08000  1.022e+02  0.49022
0.08050  1.018e+02  0.49154
0.08100  1.014e+02  0.49285
0.08150  1.010e+02  0.49417
0.08200  1.006e+02  0.49549
0.08250  1.002e+02  0.49680
0.08300  9.981e+01  0.49812
0.08350  9.941e+01  0.49943
0.08400  9.901e+01  0.50074
0.08450  9.861e+01  0.50205
0.08500  9.822e+01  0.50335
0.08550  9.782e+01  0.50466
0.08600  9.742e+01  0.50596
0.08650  9.703e+01  0.50726
0.08700  9.664e+01  0.50856
0.08750  9.624e+01  0.50985
0.08800  9.585e+01  0.51115
0.08850  9.546e+01  0.51244
0.08900  9.507e+01  0.51373
0.08950  9.468e+01  0.51501
0.09000  9.429e+01  0.51630
0.09050  9.391e+01  0.51758
0.09100  9.352e+01  0.51886
0.09150  9.314e+01  0.52013
0.09200  9.275e+01  0.52140
0.09250  9.237e+01  0.52267
0.09300  9.199e+01  0.52394
0.09350  9.161e+01  0.52520
0.09400  9.123e+01  0.52646
0.09450  9.085e+01  0.52772
0.09500  9.048e+01  0.52897
0.09550  9.010e+01  0.53022
0.09600  8.973e+01  0.53147
0.09650  8.935e+01  0.53271
0.09700  8.898e+01  0.53395
0.09750  8.861e+01  0.53518
0.09800  8.824e+01  0.53642
0.09850  8.787e+01  0.53764
0.09900  8.750e+01  0.53887
0.09950  8.713e+01  0.54009
0.10000  8.677e+01  0.54130
0.10050  8.640e+01  0.54252
0.10100  8.604e+01  0.54372
0.10150  8.568e+01  0.54493
0.10200  8.532e+01  0.54613
0.10250  8.496e+01  0.54732
0.10300  8.460e+01  0.54851
0.10350  8.424e+01  0.54970
0.10400  8.388e+01  0.55088
0.10450  8.353e+01  0.55206
0.10500  8.318e+01  0.55323
0.10550  8.282e+01  0.55440
0.10600  8.247e+01  0.55557
0.10650  8.212e+01  0.55673
0.10700  8.177e+01  0.55788
0.10750  8.142e+01  0.55903
0.10800  8.108e+01  0.56018
0.10850  8.073e+01  0.56132
0.10900  8.039e+01  0.56246
0.10950  8.004e+01  0.56359
0.11000  7.970e+01  0.56472
0.11050  7.936e+01  0.56584
0.11100  7.902e+01  0.56696
0.11150  7.868e+01  0.56807
0.11200  7.834e+01  0.56918
0.11250  7.801e+01  0.57028
0.11300  7.767e+01  0.57138
0.11350  7.734e+01  0.57247
0.11400  7.701e+01  0.57356
0.11450  7.668e+01  0.57464
0.11500  7.635e+01  0.57572
0.11550  7.602e+01  0.57679
0.11600  7.569e+01  0.57785
0.11650  7.536e+01  0.57892
0.11700  7.504e+01  0.57997
0.11750  7.471e+01  0.58102
0.11800  7.439e+01  0.58207
0.11850  7.407e+01  0.58311
0.11900  7.375e+01  0.58414
0.11950  7.343e+01  0.58517
