# Magnus solar model B23-AAG21
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Asplund et al. (2021), A&A 653, A141
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_AAG21.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
0.000e+00  2.17169e+00  3.59624e-01
5.000e-04  2.17166e+00  3.59653e-01
1.000e-03  2.17164e+00  3.59669e-01
1.500e-03  2.17161e+00  3.59690e-01
2.000e-03  2.17156e+00  3.59734e-01
2.500e-03  2.17149e+00  3.59796e-01
3.000e-03  2.17140e+00  3.59873e-01
3.500e-03  2.17130e+00  3.59965e-01
4.000e-03  2.17118e+00  3.60073e-01
4.500e-03  2.17104e+00  3.60196e-01
5.000e-03  2.17089e+00  3.60333e-01
5.500e-03  2.17072e+00  3.60485e-01
6.000e-03  2.17055e+00  3.60651e-01
6.500e-03  2.17034e+00  3.60832e-01
7.000e-03  2.17013e+00  3.61027e-01
7.500e-03  2.16989e+00  3.61238e-01
8.000e-03  2.16964e+00  3.61462e-01
8.500e-03  2.16938e+00  3.61700e-01
9.000e-03  2.16910e+00  3.61953e-01
9.500e-03  2.16881e+00  3.62220e-01
1.000e-02  2.16849e+00  3.62502e-01
1.050e-02  2.16817e+00  3.62797e-01
1.100e-02  2.16783e+00  3.63107e-01
1.150e-02  2.16747e+00  3.63430e-01
1.200e-02  2.16709e+00  3.63768e-01
1.250e-02  2.16671e+00  3.64120e-01
1.300e-02  2.16630e+00  3.64486e-01
1.350e-02  2.16588e+00  3.64865e-01
1.400e-02  2.16545e+00  3.65259e-01
1.450e-02  2.16500e+00  3.65666e-01
1.500e-02  2.16452e+00  3.66087e-01
1.550e-02  2.16405e+00  3.66522e-01
1.600e-02  2.16355e+00  3.66970e-01
1.650e-02  2.16305e+00  3.67432e-01
1.700e-02  2.16252e+00  3.67908e-01
1.750e-02  2.16197e+00  3.68396e-01
1.800e-02  2.16142e+00  3.68898e-01
1.850e-02  2.16084e+00  3.69414e-01
1.900e-02  2.16026e+00  3.69943e-01
1.950e-02  2.15966e+00  3.70485e-01
2.000e-02  2.15905e+00  3.71040e-01
