# Magnus solar model B23-AGSS09
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Asplund et al. (2009), ARA&A, 47, 481
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_AGSS09.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
0.000e+00  2.17022e+00  3.62871e-01
5.000e-04  2.17019e+00  3.62900e-01
1.000e-03  2.17018e+00  3.62916e-01
1.500e-03  2.17015e+00  3.62936e-01
2.000e-03  2.17009e+00  3.62981e-01
2.500e-03  2.17002e+00  3.63041e-01
3.000e-03  2.16994e+00  3.63119e-01
3.500e-03  2.16984e+00  3.63210e-01
4.000e-03  2.16972e+00  3.63318e-01
4.500e-03  2.16958e+00  3.63440e-01
5.000e-03  2.16943e+00  3.63576e-01
5.500e-03  2.16926e+00  3.63727e-01
6.000e-03  2.16908e+00  3.63892e-01
6.500e-03  2.16888e+00  3.64073e-01
7.000e-03  2.16867e+00  3.64267e-01
7.500e-03  2.16844e+00  3.64476e-01
8.000e-03  2.16819e+00  3.64699e-01
8.500e-03  2.16793e+00  3.64936e-01
9.000e-03  2.16765e+00  3.65188e-01
9.500e-03  2.16735e+00  3.65454e-01
1.000e-02  2.16705e+00  3.65734e-01
1.050e-02  2.16672e+00  3.66028e-01
1.100e-02  2.16639e+00  3.66335e-01
1.150e-02  2.16602e+00  3.66658e-01
1.200e-02  2.16566e+00  3.66994e-01
1.250e-02  2.16527e+00  3.67344e-01
1.300e-02  2.16487e+00  3.67708e-01
1.350e-02  2.16445e+00  3.68085e-01
1.400e-02  2.16402e+00  3.68477e-01
