# Magnus solar model B23-C11
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Caffau et al. (2011), Sol. Phys., 268, 255
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_C11.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
0.000e+00  2.17306e+00  3.56229e-01
5.000e-04  2.17303e+00  3.56258e-01
1.000e-03  2.17301e+00  3.56274e-01
1.500e-03  2.17298e+00  3.56295e-01
2.000e-03  2.17293e+00  3.56340e-01
2.500e-03  2.17286e+00  3.56401e-01
3.000e-03  2.17277e+00  3.56479e-01
3.500e-03  2.17267e+00  3.56573e-01
4.000e-03  2.17255e+00  3.56681e-01
4.500e-03  2.17241e+00  3.56805e-01
5.000e-03  2.17225e+00  3.56942e-01
5.500e-03  2.17209e+00  3.57095e-01
6.000e-03  2.17190e+00  3.57262e-01
6.500e-03  2.17170e+00  3.57444e-01
7.000e-03  2.17148e+00  3.57641e-01
7.500e-03  2.17125e+00  3.57852e-01
8.000e-03  2.17100e+00  3.58077e-01
8.500e-03  2.17073e+00  3.58317e-01
9.000e-03  2.17045e+00  3.58571e-01
9.500e-03  2.17015e+00  3.58840e-01
1.000e-02  2.16984e+00  3.59122e-01
1.050e-02  2.16951e+00  3.59420e-01
1.100e-02  2.16917e+00  3.59731e-01
1.150e-02  2.16881e+00  3.60057e-01
1.200e-02  2.16843e+00  3.60396e-01
1.250e-02  2.16804e+00  3.60750e-01
1.300e-02  2.16763e+00  3.61117e-01
1.350e-02  2.16720e+00  3.61499e-01
1.400e-02  2.16677e+00  3.61895e-01
1.450e-02  2.16631e+00  3.62305e-01
1.500e-02  2.16585e+00  3.62727e-01
1.550e-02  2.16536e+00  3.63164e-01
1.600e-02  2.16486e+00  3.63615e-01
1.650e-02  2.16435e+00  3.64079e-01
1.700e-02  2.16382e+00  3.64557e-01
1.750e-02  2.16327e+00  3.65048e-01
1.800e-02  2.16271e+00  3.65553e-01
1.850e-02  2.16213e+00  3.66071e-01
1.900e-02  2.16155e+00  3.66602e-01
1.950e-02  2.16094e+00  3.67148e-01
