# Magnus solar model B23-GS98
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Grevesse & Sauval (1998), Space Sci. Rev., 85, 161
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_GS98.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
0.000e+00  2.17563e+00  3.47784e-01
5.000e-04  2.17560e+00  3.47818e-01
1.000e-03  2.17557e+00  3.47840e-01
1.500e-03  2.17555e+00  3.47856e-01
2.000e-03  2.17550e+00  3.47898e-01
2.500e-03  2.17543e+00  3.47958e-01
3.000e-03  2.17534e+00  3.48035e-01
3.500e-03  2.17523e+00  3.48129e-01
4.000e-03  2.17511e+00  3.48238e-01
4.500e-03  2.17498e+00  3.48362e-01
5.000e-03  2.17482e+00  3.48501e-01
5.500e-03  2.17465e+00  3.48654e-01
6.000e-03  2.17446e+00  3.48824e-01
6.500e-03  2.17426e+00  3.49007e-01
7.000e-03  2.17403e+00  3.49204e-01
7.500e-03  2.17380e+00  3.49417e-01
8.000e-03  2.17354e+00  3.49645e-01
8.500e-03  2.17328e+00  3.49887e-01
9.000e-03  2.17299e+00  3.50144e-01
9.500e-03  2.17269e+00  3.50414e-01
1.000e-02  2.17238e+00  3.50700e-01
1.050e-02  2.17204e+00  3.50999e-01
1.100e-02  2.17169e+00  3.51314e-01
1.150e-02  2.17132e+00  3.51643e-01
1.200e-02  2.17094e+00  3.51985e-01
1.250e-02  2.17054e+00  3.52341e-01
1.300e-02  2.17013e+00  3.52713e-01
1.350e-02  2.16971e+00  3.53097e-01
1.400e-02  2.16926e+00  3.53497e-01
1.450e-02  2.16880e+00  3.53910e-01
1.500e-02  2.16832e+00  3.54337e-01
1.550e-02  2.16783e+00  3.54778e-01
1.600e-02  2.16733e+00  3.55233e-01
1.650e-02  2.16680e+00  3.55701e-01
1.700e-02  2.16627e+00  3.56184e-01
1.750e-02  2.16571e+00  3.56679e-01
1.800e-02  2.16515e+00  3.57188e-01
1.850e-02  2.16457e+00  3.57712e-01
1.900e-02  2.16398e+00  3.58248e-01
1.950e-02  2.16336e+00  3.58797e-01
2.000e-02  2.16273e+00  3.59359e-01
2.050e-02  2.16209e+00  3.59936e-01
2.100e-02  2.16143e+00  3.60525e-01
2.150e-02  2.16076e+00  3.61127e-01
2.200e-02  2.16008e+00  3.61741e-01
2.250e-02  2.15938e+00  3.62369e-01
2.300e-02  2.15865e+00  3.63009e-01
2.350e-02  2.15793e+00  3.63663e-01
2.400e-02  2.15719e+00  3.64327e-01
2.450e-02  2.15643e+00  3.65006e-01
2.500e-02  2.15565e+00  3.65696e-01
2.550e-02  2.15487e+00  3.66398e-01
2.600e-02  2.15407e+00  3.67113e-01
2.650e-02  2.15326e+00  3.67841e-01
2.700e-02  2.15243e+00  3.68579e-01
2.750e-02  2.15159e+00  3.69330e-01
2.800e-02  2.15073e+00  3.70093e-01
2.850e-02  2.14986e+00  3.70867e-01
2.900e-02  2.14899e+00  3.71653e-01
2.950e-02  2.14809e+00  3.72450e-01
3.000e-02  2.14718e+00  3.73259e-01
3.050e-02  2.14626e+00  3.74078e-01
3.100e-02  2.14533e+00  3.74910e-01
3.150e-02  2.14439e+00  3.75751e-01
3.200e-02  2.14342e+00  3.76605e-01
3.250e-02  2.14245e+00  3.77468e-01
3.300e-02  2.14146e+00  3.78343e-01
3.350e-02  2.14047e+00  3.79228e-01
3.400e-02  2.13946e+00  3.80123e-01
3.450e-02  2.13844e+00  3.81028e-01
3.500e-02  2.13741e+00  3.81945e-01
3.550e-02  2.13636e+00  3.82871e-01
3.600e-02  2.13530e+00  3.83806e-01
3.650e-02  2.13423e+00  3.84752e-01
3.700e-02  2.13315e+00  3.85707e-01
3.750e-02  2.13206e+00  3.86673e-01
3.800e-02  2.13096e+00  3.87648e-01
3.850e-02  2.12984e+00  3.88632e-01
3.900e-02  2.12871e+00  3.89625e-01
3.950e-02  2.12758e+00  3.90627e-01
4.000e-02  2.12643e+00  3.91639e-01
4.050e-02  2.12527e+00  3.92659e-01
4.100e-02  2.12409e+00  3.93687e-01
4.150e-02  2.12291e+00  3.94726e-01
4.200e-02  2.12172e+00  3.95771e-01
4.250e-02  2.12052e+00  3.96825e-01
4.300e-02  2.11931e+00  3.97887e-01
4.350e-02  2.11809e+00  3.98958e-01
4.400e-02  2.11685e+00  4.00037e-01
4.450e-02  2.11560e+00  4.01124e-01
4.500e-02  2.11435e+00  4.02218e-01
4.550e-02  2.11308e+00  4.03319e-01
4.600e-02  2.11181e+00  4.04429e-01
4.650e-02  2.11052e+00  4.05545e-01
4.700e-02  2.10922e+00  4.06668e-01
4.750e-02  2.10791e+00  4.07798e-01
4.800e-02  2.10659e+00  4.08934e-01
4.850e-02  2.10528e+00  4.10079e-01
4.900e-02  2.10395e+00  4.11229e-01
4.950e-02  2.10260e+00  4.12386e-01
5.000e-02  2.10125e+00  4.13549e-01
5.050e-02  2.09989e+00  4.14718e-01
5.100e-02  2.09852e+00  4.15893e-01
5.150e-02  2.09714e+00  4.17075e-01
5.200e-02  2.09576e+00  4.18262e-01
5.250e-02  2.09436e+00  4.19455e-01
5.300e-02  2.09296e+00  4.20653e-01
5.350e-02  2.09155e+00  4.21857e-01
5.400e-02  2.09013e+00  4.23066e-01
5.450e-02  2.08870e+00  4.24280e-01
5.500e-02  2.08727e+00  4.25500e-01
5.550e-02  2.08583e+00  4.26725e-01
5.600e-02  2.08437e+00  4.27953e-01
5.650e-02  2.08291e+00  4.29186e-01
5.700e-02  2.08145e+00  4.30424e-01
5.750e-02  2.07998e+00  4.31667e-01
5.800e-02  2.07850e+00  4.32913e-01
5.850e-02  2.07701e+00  4.34164e-01
5.900e-02  2.07551e+00  4.35419e-01
5.950e-02  2.07402e+00  4.36677e-01
6.000e-02  2.07251e+00  4.37939e-01
6.050e-02  2.07100e+00  4.39205e-01
6.100e-02  2.06947e+00  4.40475e-01
6.150e-02  2.06794e+00  4.41748e-01
