# Magnus solar model B23-MB22m
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Magg et al. (2022), A&A 661, A140 (meteoritic)
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_MB22m.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
0.000e+00  2.17609e+00  3.45924e-01
5.000e-04  2.17606e+00  3.45955e-01
1.000e-03  2.17605e+00  3.45969e-01
1.500e-03  2.17602e+00  3.45991e-01
2.000e-03  2.17596e+00  3.46037e-01
2.500e-03  2.17589e+00  3.46101e-01
3.000e-03  2.17580e+00  3.46179e-01
3.500e-03  2.17570e+00  3.46274e-01
4.000e-03  2.17557e+00  3.46384e-01
4.500e-03  2.17543e+00  3.46509e-01
5.000e-03  2.17528e+00  3.46650e-01
5.500e-03  2.17511e+00  3.46806e-01
6.000e-03  2.17492e+00  3.46975e-01
6.500e-03  2.17471e+00  3.47161e-01
7.000e-03  2.17449e+00  3.47361e-01
7.500e-03  2.17425e+00  3.47574e-01
8.000e-03  2.17400e+00  3.47804e-01
8.500e-03  2.17373e+00  3.48047e-01
9.000e-03  2.17344e+00  3.48306e-01
9.500e-03  2.17314e+00  3.48578e-01
1.000e-02  2.17282e+00  3.48866e-01
1.050e-02  2.17249e+00  3.49168e-01
1.100e-02  2.17214e+00  3.49485e-01
1.150e-02  2.17177e+00  3.49815e-01
1.200e-02  2.17139e+00  3.50160e-01
1.250e-02  2.17099e+00  3.50519e-01
1.300e-02  2.17057e+00  3.50893e-01
1.350e-02  2.17014e+00  3.51281e-01
1.400e-02  2.16970e+00  3.51683e-01
1.450e-02  2.16924e+00  3.52098e-01
1.500e-02  2.16876e+00  3.52528e-01
1.550e-02  2.16827e+00  3.52973e-01
1.600e-02  2.16775e+00  3.53430e-01
1.650e-02  2.16723e+00  3.53902e-01
1.700e-02  2.16669e+00  3.54387e-01
1.750e-02  2.16614e+00  3.54886e-01
1.800e-02  2.16557e+00  3.55398e-01
1.850e-02  2.16498e+00  3.55925e-01
1.900e-02  2.16438e+00  3.56464e-01
1.950e-02  2.16377e+00  3.57018e-01
2.000e-02  2.16314e+00  3.57584e-01
2.050e-02  2.16250e+00  3.58163e-01
2.100e-02  2.16184e+00  3.58756e-01
2.150e-02  2.16116e+00  3.59361e-01
2.200e-02  2.16047e+00  3.59980e-01
2.250e-02  2.15977e+00  3.60611e-01
2.300e-02  2.15905e+00  3.61256e-01
2.350e-02  2.15832e+00  3.61912e-01
2.400e-02  2.15757e+00  3.62582e-01
2.450e-02  2.15681e+00  3.63264e-01
2.500e-02  2.15604e+00  3.63959e-01
2.550e-02  2.15525e+00  3.64665e-01
2.600e-02  2.15444e+00  3.65385e-01
2.650e-02  2.15363e+00  3.66116e-01
2.700e-02  2.15280e+00  3.66859e-01
2.750e-02  2.15195e+00  3.67615e-01
2.800e-02  2.15109e+00  3.68382e-01
2.850e-02  2.15022e+00  3.69160e-01
2.900e-02  2.14934e+00  3.69950e-01
2.950e-02  2.14844e+00  3.70752e-01
3.000e-02  2.14754e+00  3.71566e-01
3.050e-02  2.14661e+00  3.72390e-01
3.100e-02  2.14567e+00  3.73226e-01
3.150e-02  2.14473e+00  3.74073e-01
3.200e-02  2.14376e+00  3.74930e-01
3.250e-02  2.14279e+00  3.75798e-01
3.300e-02  2.14179e+00  3.76677e-01
3.350e-02  2.14080e+00  3.77568e-01
3.400e-02  2.13978e+00  3.78468e-01
3.450e-02  2.13876e+00  3.79378e-01
3.500e-02  2.13773e+00  3.80299e-01
3.550e-02  2.13668e+00  3.81230e-01
3.600e-02  2.13562e+00  3.82171e-01
3.650e-02  2.13455e+00  3.83121e-01
3.700e-02  2.13346e+00  3.84082e-01
3.750e-02  2.13237e+00  3.85052e-01
3.800e-02  2.13126e+00  3.86032e-01
3.850e-02  2.13013e+00  3.87021e-01
3.900e-02  2.12901e+00  3.88019e-01
3.950e-02  2.12787e+00  3.89026e-01
4.000e-02  2.12672e+00  3.90042e-01
4.050e-02  2.12556e+00  3.91067e-01
4.100e-02  2.12438e+00  3.92100e-01
4.150e-02  2.12319e+00  3.93143e-01
4.200e-02  2.12200e+00  3.94194e-01
4.250e-02  2.12079e+00  3.95253e-01
4.300e-02  2.11958e+00  3.96321e-01
4.350e-02  2.11835e+00  3.97396e-01
4.400e-02  2.11712e+00  3.98479e-01
4.450e-02  2.11587e+00  3.99571e-01
4.500e-02  2.11461e+00  4.00669e-01
4.550e-02  2.11334e+00  4.01775e-01
4.600e-02  2.11206e+00  4.02888e-01
4.650e-02  2.11077e+00  4.04009e-01
4.700e-02  2.10947e+00  4.05137e-01
4.750e-02  2.10815e+00  4.06272e-01
4.800e-02  2.10684e+00  4.07413e-01
4.850e-02  2.10551e+00  4.08562e-01
4.900e-02  2.10418e+00  4.09717e-01
4.950e-02  2.10283e+00  4.10878e-01
5.000e-02  2.10148e+00  4.12045e-01
5.050e-02  2.10011e+00  4.13219e-01
5.100e-02  2.09874e+00  4.14399e-01
5.150e-02  2.09736e+00  4.15586e-01
5.200e-02  2.09597e+00  4.16777e-01
5.250e-02  2.09457e+00  4.17974e-01
5.300e-02  2.09317e+00  4.19177e-01
5.350e-02  2.09176e+00  4.20384e-01
5.400e-02  2.09033e+00  4.21597e-01
5.450e-02  2.08890e+00  4.22816e-01
5.500e-02  2.08746e+00  4.24039e-01
5.550e-02  2.08601e+00  4.25268e-01
5.600e-02  2.08456e+00  4.26501e-01
5.650e-02  2.08311e+00  4.27738e-01
5.700e-02  2.08165e+00  4.28980e-01
5.750e-02  2.08017e+00  4.30226e-01
5.800e-02  2.07868e+00  4.31477e-01
5.850e-02  2.07719e+00  4.32731e-01
5.900e-02  2.07570e+00  4.33990e-01
5.950e-02  2.07419e+00  4.35252e-01
6.000e-02  2.07268e+00  4.36518e-01
6.050e-02  2.07116e+00  4.37788e-01
6.100e-02  2.06964e+00  4.39061e-01
6.150e-02  2.06811e+00  4.40337e-01
