# Magnus solar model B23-MB22p
#
# Reference:  Y. Herrera and A. Serenelli, "Standard Solar Models B23 / SF-III", Zenodo, v1.2 (2023), doi:10.5281/zenodo.10822316; solar composition Magg et al. (2022), A&A 661, A140 (photospheric)
# Source:     https://zenodo.org/records/10822316/files/SolarModels_ICE2023_v1.2.zip
# Original:   SolarModels/struct+nu_SF3_MB22p.dat
# Retrieved:  2026-09-23
# SHA-256:    382037d76ed35c9b50a4094d3ada3c90284af025c3235b49cda9d932699f87d0 (of SolarModels_ICE2023_v1.2.zip)
# Terms:      Creative Commons Attribution 4.0 International (CC-BY-4.0).
# Modified:   columns extracted only -- radius [R_sun], log10_rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: log10_rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#    #     R_sun        mass_sun           L_sun            logR            logT            logP          logRho          Csound              dm           nu_pp          nu_pep          nu_hep          nu_7Be           nu_8B          nu_13N          nu_15O          nu_17F          log_ne              H1             He4             He3             C12             C13             N14             N15             O16             O17             O18              Ne              Na              Mg              Al              Si               P               S              Cl              Ar               K              Ca              Sc              Ti               V              Cr              Mn              Fe              Co              Ni
#
# r_over_r_sun  log10_rho_g_per_cm3  x_hydrogen
0.000e+00  2.17568e+00  3.46728e-01
5.000e-04  2.17565e+00  3.46757e-01
1.000e-03  2.17564e+00  3.46773e-01
1.500e-03  2.17561e+00  3.46795e-01
2.000e-03  2.17555e+00  3.46841e-01
2.500e-03  2.17548e+00  3.46904e-01
3.000e-03  2.17539e+00  3.46983e-01
3.500e-03  2.17529e+00  3.47078e-01
4.000e-03  2.17516e+00  3.47188e-01
4.500e-03  2.17503e+00  3.47313e-01
5.000e-03  2.17487e+00  3.47453e-01
5.500e-03  2.17469e+00  3.47608e-01
6.000e-03  2.17451e+00  3.47778e-01
6.500e-03  2.17430e+00  3.47963e-01
7.000e-03  2.17408e+00  3.48162e-01
7.500e-03  2.17385e+00  3.48376e-01
8.000e-03  2.17359e+00  3.48605e-01
8.500e-03  2.17332e+00  3.48849e-01
9.000e-03  2.17303e+00  3.49107e-01
9.500e-03  2.17273e+00  3.49379e-01
1.000e-02  2.17241e+00  3.49666e-01
1.050e-02  2.17208e+00  3.49967e-01
1.100e-02  2.17173e+00  3.50283e-01
1.150e-02  2.17136e+00  3.50614e-01
1.200e-02  2.17098e+00  3.50959e-01
1.250e-02  2.17058e+00  3.51317e-01
1.300e-02  2.17017e+00  3.51691e-01
1.350e-02  2.16974e+00  3.52078e-01
1.400e-02  2.16929e+00  3.52479e-01
1.450e-02  2.16883e+00  3.52894e-01
1.500e-02  2.16836e+00  3.53324e-01
1.550e-02  2.16787e+00  3.53767e-01
1.600e-02  2.16736e+00  3.54225e-01
1.650e-02  2.16683e+00  3.54695e-01
1.700e-02  2.16630e+00  3.55180e-01
1.750e-02  2.16574e+00  3.55678e-01
1.800e-02  2.16517e+00  3.56190e-01
1.850e-02  2.16459e+00  3.56716e-01
1.900e-02  2.16399e+00  3.57254e-01
1.950e-02  2.16338e+00  3.57807e-01
2.000e-02  2.16275e+00  3.58373e-01
2.050e-02  2.16210e+00  3.58952e-01
2.100e-02  2.16145e+00  3.59543e-01
2.150e-02  2.16078e+00  3.60148e-01
2.200e-02  2.16009e+00  3.60766e-01
2.250e-02  2.15939e+00  3.61397e-01
2.300e-02  2.15866e+00  3.62041e-01
2.350e-02  2.15794e+00  3.62697e-01
2.400e-02  2.15719e+00  3.63365e-01
2.450e-02  2.15644e+00  3.64047e-01
2.500e-02  2.15566e+00  3.64741e-01
2.550e-02  2.15487e+00  3.65446e-01
2.600e-02  2.15407e+00  3.66165e-01
