# Magnus solar model BP04
#
# Reference:  J. N. Bahcall and M. H. Pinsonneault, "What do we (not) know theoretically about solar neutrino fluxes?", Phys. Rev. Lett. 92, 121301 (2004), doi:10.1103/PhysRevLett.92.121301, astro-ph/0402114
# Source:     https://www.sns.ias.edu/~jnb/SNdata/Export/BP2004/bp2004stdmodel.dat
# Original:   bp2004stdmodel.dat
# Retrieved:  2026-09-23
# SHA-256:    91916dea000579d0982fba8ee2d4ef599e0e5603413de6975e5994a9d4ac245a (of bp2004stdmodel.dat)
# Terms:      "The files accessible here are available for general use. I would appreciate a note at your convenience telling me how you are using them." (J. N. Bahcall, https://www.sns.ias.edu/~jnb/SNdata/sndata.html)
# Modified:   columns extracted only -- radius [R_sun], rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#   Standard Solar Model (BP2004)
#
#   astro-ph/0402114
#
#   Columns in the Standard Model table (below) represent:
#
#   1)  Mass fraction in units of the solar mass
#   2)  Radius of the zone in units of one solar radius
#   3)  Temperature in units of deg (K)
#   4)  Density in units of g/cm^3
#   5)  Pressure in units of dyn/cm^2
#   6)  Luminosity fraction in units of the solar luminosity
#   7)  X(^1H): the hydrogen mass fraction
#   8)  X(^4He): the helium 4 mass fraction
#   9)  X(^3He): the helium 3 mass fraction
#   10) X(^12C): the carbon 12 mass fraction
#   11) X(^14N): the nitrogen 14 mass fraction
#   12) X(^16O): the oxygen 16 mass fraction
#
#   The Table begins here.
#
#
#     M/Msun    R/Rsun      T         Rho        P        L/Lsun      X        Y        He3      C12       N14       O16
#
# r_over_r_sun  rho_g_per_cm3  x_hydrogen
0.00649  1.531e+02  0.33984
0.00659  1.531e+02  0.33989
0.00670  1.531e+02  0.33993
0.00680  1.531e+02  0.33997
0.00690  1.531e+02  0.34002
0.00701  1.531e+02  0.34007
0.00712  1.530e+02  0.34012
0.00723  1.530e+02  0.34017
0.00734  1.530e+02  0.34022
0.00745  1.530e+02  0.34028
0.00756  1.530e+02  0.34033
0.00768  1.529e+02  0.34039
0.00780  1.529e+02  0.34045
0.00792  1.529e+02  0.34051
0.00804  1.529e+02  0.34057
0.00816  1.528e+02  0.34064
0.00829  1.528e+02  0.34070
0.00841  1.528e+02  0.34077
0.00854  1.528e+02  0.34084
0.00867  1.527e+02  0.34092
0.00881  1.527e+02  0.34099
0.00894  1.527e+02  0.34107
0.00908  1.527e+02  0.34115
0.00922  1.526e+02  0.34123
0.00936  1.526e+02  0.34132
0.00950  1.526e+02  0.34140
0.00964  1.525e+02  0.34149
0.00979  1.525e+02  0.34159
0.00994  1.525e+02  0.34168
0.01009  1.524e+02  0.34178
0.01025  1.524e+02  0.34188
0.01040  1.523e+02  0.34199
0.01056  1.523e+02  0.34209
0.01072  1.523e+02  0.34220
0.01088  1.522e+02  0.34232
0.01105  1.522e+02  0.34243
0.01122  1.521e+02  0.34256
0.01139  1.521e+02  0.34268
0.01156  1.520e+02  0.34281
0.01173  1.520e+02  0.34294
0.01191  1.519e+02  0.34307
0.01209  1.519e+02  0.34321
0.01227  1.518e+02  0.34336
0.01246  1.518e+02  0.34350
0.01264  1.517e+02  0.34365
0.01283  1.517e+02  0.34381
0.01303  1.516e+02  0.34397
0.01322  1.515e+02  0.34414
0.01342  1.515e+02  0.34431
0.01362  1.514e+02  0.34448
0.01383  1.514e+02  0.34466
0.01403  1.513e+02  0.34484
0.01424  1.512e+02  0.34503
0.01445  1.511e+02  0.34523
0.01467  1.511e+02  0.34543
0.01489  1.510e+02  0.34563
0.01511  1.509e+02  0.34584
0.01533  1.508e+02  0.34606
0.01556  1.508e+02  0.34628
0.01579  1.507e+02  0.34651
0.01602  1.506e+02  0.34675
0.01626  1.505e+02  0.34699
0.01649  1.504e+02  0.34724
0.01674  1.503e+02  0.34749
0.01698  1.502e+02  0.34775
0.01723  1.501e+02  0.34802
0.01748  1.500e+02  0.34830
0.01773  1.499e+02  0.34858
0.01799  1.498e+02  0.34887
0.01825  1.497e+02  0.34917
0.01851  1.496e+02  0.34947
0.01878  1.495e+02  0.34978
0.01905  1.494e+02  0.35010
0.01932  1.492e+02  0.35043
0.01960  1.491e+02  0.35076
0.01987  1.490e+02  0.35111
0.02016  1.489e+02  0.35146
0.02044  1.487e+02  0.35182
0.02073  1.486e+02  0.35219
0.02102  1.485e+02  0.35257
0.02131  1.483e+02  0.35295
0.02161  1.482e+02  0.35335
0.02191  1.480e+02  0.35375
0.02221  1.479e+02  0.35417
0.02252  1.477e+02  0.35459
0.02283  1.476e+02  0.35502
0.02314  1.474e+02  0.35546
0.02345  1.472e+02  0.35591
0.02377  1.471e+02  0.35637
0.02409  1.469e+02  0.35684
0.02442  1.467e+02  0.35732
0.02474  1.466e+02  0.35781
0.02507  1.464e+02  0.35830
0.02540  1.462e+02  0.35881
0.02574  1.460e+02  0.35933
0.02608  1.458e+02  0.35986
0.02642  1.456e+02  0.36040
0.02676  1.454e+02  0.36094
0.02710  1.452e+02  0.36150
0.02745  1.450e+02  0.36207
0.02780  1.448e+02  0.36265
0.02815  1.446e+02  0.36324
0.02851  1.444e+02  0.36383
0.02887  1.442e+02  0.36444
0.02923  1.440e+02  0.36506
0.02959  1.437e+02  0.36569
0.02995  1.435e+02  0.36632
0.03032  1.433e+02  0.36697
0.03068  1.430e+02  0.36763
0.03105  1.428e+02  0.36829
0.03143  1.426e+02  0.36897
0.03180  1.423e+02  0.36966
0.03218  1.421e+02  0.37035
0.03255  1.418e+02  0.37106
0.03293  1.416e+02  0.37177
0.03331  1.413e+02  0.37249
0.03369  1.411e+02  0.37323
0.03408  1.408e+02  0.37397
0.03446  1.405e+02  0.37472
0.03485  1.403e+02  0.37548
0.03524  1.400e+02  0.37625
0.03563  1.397e+02  0.37702
0.03602  1.395e+02  0.37781
0.03641  1.392e+02  0.37860
0.03680  1.389e+02  0.37940
0.03719  1.386e+02  0.38021
0.03759  1.383e+02  0.38103
0.03798  1.380e+02  0.38185
0.03838  1.378e+02  0.38269
0.03878  1.375e+02  0.38353
0.03917  1.372e+02  0.38438
0.03957  1.369e+02  0.38523
0.03997  1.366e+02  0.38609
0.04037  1.363e+02  0.38696
0.04077  1.360e+02  0.38784
0.04117  1.357e+02  0.38872
0.04158  1.354e+02  0.38961
0.04198  1.351e+02  0.39050
0.04238  1.347e+02  0.39140
0.04278  1.344e+02  0.39231
0.04319  1.341e+02  0.39322
0.04359  1.338e+02  0.39414
0.04399  1.335e+02  0.39506
0.04440  1.332e+02  0.39599
