# Magnus solar model BP2000
#
# Reference:  J. N. Bahcall, M. H. Pinsonneault and S. Basu, "Solar models: current epoch and time dependences, neutrinos, and helioseismological properties", ApJ 555, 990 (2001), doi:10.1086/321493, astro-ph/0010346
# Source:     https://www.sns.ias.edu/~jnb/SNdata/Export/BP2000/bp2000stdmodel.dat
# Original:   bp2000stdmodel.dat
# Retrieved:  2026-09-23
# SHA-256:    b84751e0f7008e6252df2e989b02827b2081d7652050296e0bb5c633a2ec9c14 (of bp2000stdmodel.dat)
# Terms:      "The files accessible here are available for general use. I would appreciate a note at your convenience telling me how you are using them." (J. N. Bahcall, https://www.sns.ias.edu/~jnb/SNdata/sndata.html)
# Modified:   columns extracted only -- radius [R_sun], rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#   Standard Solar Model (BP2000)
#
#   astro-ph/0010346
#
#   Columns in the Standard Model table (below) represent:
#
#   1)  Mass fraction in units of the solar mass
#   2)  Radius of the zone in units of one solar radius
#   3)  Temperature in units of deg (K)
#   4)  Density in units of g/cm^3
#   5)  Pressure in units of dyn/cm^2
#   6)  Luminosity fraction in units of the solar luminosity
#   7)  X(^1H): the hydrogen mass fraction
#   8)  X(^4He): the helium 4 mass fraction
#   9)  X(^3He): the helium 3 mass fraction
#   10) X(^12C): the carbon 12 mass fraction
#   11) X(^14N): the nitrogen 14 mass fraction
#   12) X(^16O): the oxygen 16 mass fraction
#
#   The Table begins here.
#
#
#    M/Msun    R/Rsun      T         Rho        P        L/Lsun     X,       Y        He3       C12       N14       O16
#
# r_over_r_sun  rho_g_per_cm3  x_hydrogen
0.00650  1.524E+02  0.33973
0.00661  1.524E+02  0.33977
0.00671  1.524E+02  0.33981
0.00681  1.524E+02  0.33986
0.00692  1.524E+02  0.33991
0.00702  1.524E+02  0.33995
0.00713  1.523E+02  0.34000
0.00724  1.523E+02  0.34005
0.00735  1.523E+02  0.34011
0.00747  1.523E+02  0.34016
0.00758  1.523E+02  0.34022
0.00770  1.522E+02  0.34028
0.00782  1.522E+02  0.34033
0.00794  1.522E+02  0.34040
0.00807  1.522E+02  0.34046
0.00819  1.522E+02  0.34053
0.00832  1.521E+02  0.34059
0.00845  1.521E+02  0.34066
0.00858  1.521E+02  0.34073
0.00871  1.520E+02  0.34081
0.00884  1.520E+02  0.34088
0.00898  1.520E+02  0.34096
0.00912  1.520E+02  0.34104
0.00926  1.519E+02  0.34113
0.00941  1.519E+02  0.34121
0.00955  1.519E+02  0.34130
0.00970  1.518E+02  0.34140
0.00985  1.518E+02  0.34149
0.01000  1.518E+02  0.34159
0.01016  1.517E+02  0.34169
0.01032  1.517E+02  0.34179
0.01048  1.516E+02  0.34190
0.01064  1.516E+02  0.34201
0.01080  1.516E+02  0.34212
0.01097  1.515E+02  0.34224
0.01114  1.515E+02  0.34236
0.01131  1.514E+02  0.34248
0.01149  1.514E+02  0.34261
0.01167  1.513E+02  0.34274
0.01185  1.513E+02  0.34288
0.01203  1.512E+02  0.34302
0.01222  1.512E+02  0.34316
0.01241  1.511E+02  0.34331
0.01260  1.511E+02  0.34347
0.01280  1.510E+02  0.34363
0.01300  1.509E+02  0.34379
0.01320  1.509E+02  0.34396
0.01341  1.508E+02  0.34413
0.01362  1.508E+02  0.34431
0.01383  1.507E+02  0.34450
0.01404  1.506E+02  0.34469
0.01426  1.505E+02  0.34488
0.01448  1.505E+02  0.34509
0.01471  1.504E+02  0.34530
0.01494  1.503E+02  0.34551
0.01517  1.502E+02  0.34573
0.01541  1.501E+02  0.34596
0.01565  1.501E+02  0.34620
0.01589  1.500E+02  0.34644
0.01614  1.499E+02  0.34669
0.01639  1.498E+02  0.34695
0.01665  1.497E+02  0.34721
0.01691  1.496E+02  0.34749
0.01717  1.495E+02  0.34777
0.01744  1.494E+02  0.34806
0.01771  1.493E+02  0.34836
0.01799  1.492E+02  0.34867
0.01827  1.490E+02  0.34899
0.01855  1.489E+02  0.34931
0.01884  1.488E+02  0.34965
0.01914  1.487E+02  0.35000
0.01944  1.485E+02  0.35036
0.01974  1.484E+02  0.35073
0.02005  1.483E+02  0.35111
0.02036  1.481E+02  0.35150
0.02068  1.480E+02  0.35191
0.02101  1.478E+02  0.35233
0.02134  1.477E+02  0.35276
0.02167  1.475E+02  0.35320
0.02201  1.473E+02  0.35365
0.02236  1.472E+02  0.35412
0.02271  1.470E+02  0.35461
0.02307  1.468E+02  0.35511
0.02343  1.466E+02  0.35562
