# Magnus solar model BS05-AGS-OP
#
# Reference:  J. N. Bahcall, A. M. Serenelli and S. Basu, "New solar opacities, abundances, helioseismology, and neutrino fluxes", ApJ 621, L85 (2005), doi:10.1086/428929, astro-ph/0412440
# Source:     https://www.sns.ias.edu/~jnb/SNdata/Export/BS2005/bs05_agsop.dat
# Original:   bs05_agsop.dat
# Retrieved:  2026-08-04
# SHA-256:    76da551f0a5c548f5f297269ed78937536c4238f2759ab101582658f9caf793e (of bs05_agsop.dat)
# Terms:      "The files accessible here are available for general use. I would appreciate a note at your convenience telling me how you are using them." (J. N. Bahcall, https://www.sns.ias.edu/~jnb/SNdata/sndata.html)
# Modified:   columns extracted only -- radius [R_sun], rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#   Standard Solar Model (BS2005-AGS,OP)
#
#   astro-ph/0412440
#
#   Columns in the Standard Model table (below) represent:
#
#   1)  Mass fraction in units of the solar mass
#   2)  Radius of the zone in units of one solar radius
#   3)  Temperature in units of deg (K)
#   4)  Density in units of g/cm^3
#   5)  Pressure in units of dyn/cm^2
#   6)  Luminosity fraction in units of the solar luminosity
#   7)  X(^1H): the hydrogen mass fraction
#   8)  X(^4He): the helium 4 mass fraction
#   9)  X(^3He): the helium 3 mass fraction
#   10) X(^12C): the carbon 12 mass fraction
#   11) X(^14N): the nitrogen 14 mass fraction
#   12) X(^16O): the oxygen 16 mass fraction
#
#   The Table begins here.
#
#
#     M/Msun    R/Rsun      T         Rho        P        L/Lsun      X      Y(He4)     He3      C12       N14       O16
#
# r_over_r_sun  rho_g_per_cm3  x_hydrogen
0.00161  1.505e+02  0.36462
0.00172  1.505e+02  0.36462
0.00182  1.505e+02  0.36463
0.00191  1.505e+02  0.36464
0.00200  1.504e+02  0.36464
0.00208  1.504e+02  0.36465
0.00215  1.504e+02  0.36466
0.00222  1.504e+02  0.36466
0.00228  1.504e+02  0.36467
0.00235  1.504e+02  0.36468
0.00241  1.504e+02  0.36468
0.00246  1.504e+02  0.36469
0.00252  1.504e+02  0.36470
0.00257  1.504e+02  0.36470
0.00262  1.504e+02  0.36471
0.00267  1.504e+02  0.36472
0.00271  1.504e+02  0.36472
0.00276  1.504e+02  0.36473
0.00280  1.504e+02  0.36474
0.00285  1.504e+02  0.36474
0.00289  1.504e+02  0.36475
0.00293  1.504e+02  0.36476
0.00297  1.504e+02  0.36476
0.00301  1.504e+02  0.36477
0.00305  1.504e+02  0.36477
0.00309  1.504e+02  0.36478
0.00313  1.504e+02  0.36479
0.00317  1.504e+02  0.36479
0.00320  1.504e+02  0.36480
0.00324  1.504e+02  0.36481
0.00328  1.504e+02  0.36481
0.00331  1.504e+02  0.36482
0.00333  1.504e+02  0.36482
0.00337  1.504e+02  0.36483
0.00341  1.504e+02  0.36484
0.00344  1.504e+02  0.36484
0.00347  1.504e+02  0.36485
0.00350  1.504e+02  0.36485
0.00353  1.504e+02  0.36486
0.00356  1.504e+02  0.36487
0.00359  1.504e+02  0.36487
0.00363  1.504e+02  0.36488
0.00366  1.503e+02  0.36489
0.00369  1.503e+02  0.36489
0.00373  1.503e+02  0.36490
0.00375  1.503e+02  0.36491
0.00378  1.503e+02  0.36491
0.00380  1.503e+02  0.36492
0.00382  1.503e+02  0.36492
0.00385  1.503e+02  0.36493
0.00387  1.503e+02  0.36493
0.00389  1.503e+02  0.36494
0.00392  1.503e+02  0.36494
0.00394  1.503e+02  0.36495
0.00397  1.503e+02  0.36495
0.00399  1.503e+02  0.36496
0.00402  1.503e+02  0.36496
0.00404  1.503e+02  0.36497
0.00407  1.503e+02  0.36497
0.00409  1.503e+02  0.36498
0.00412  1.503e+02  0.36499
0.00414  1.503e+02  0.36499
0.00417  1.503e+02  0.36500
0.00419  1.503e+02  0.36500
0.00422  1.503e+02  0.36501
0.00425  1.503e+02  0.36502
0.00427  1.503e+02  0.36502
0.00430  1.503e+02  0.36503
0.00433  1.503e+02  0.36504
0.00435  1.503e+02  0.36504
0.00438  1.503e+02  0.36505
0.00441  1.503e+02  0.36506
0.00443  1.503e+02  0.36506
0.00446  1.503e+02  0.36507
0.00449  1.503e+02  0.36508
0.00452  1.503e+02  0.36508
0.00455  1.503e+02  0.36509
0.00457  1.503e+02  0.36510
0.00460  1.503e+02  0.36511
0.00463  1.503e+02  0.36511
0.00466  1.503e+02  0.36512
0.00469  1.503e+02  0.36513
0.00470  1.503e+02  0.36513
0.00472  1.503e+02  0.36514
0.00473  1.502e+02  0.36514
0.00475  1.502e+02  0.36515
0.00476  1.502e+02  0.36515
0.00478  1.502e+02  0.36515
0.00479  1.502e+02  0.36516
0.00481  1.502e+02  0.36516
0.00482  1.502e+02  0.36517
0.00484  1.502e+02  0.36517
0.00485  1.502e+02  0.36517
0.00487  1.502e+02  0.36518
0.00488  1.502e+02  0.36518
0.00490  1.502e+02  0.36519
0.00491  1.502e+02  0.36519
0.00493  1.502e+02  0.36519
0.00494  1.502e+02  0.36520
0.00496  1.502e+02  0.36520
0.00497  1.502e+02  0.36521
0.00499  1.502e+02  0.36521
0.00500  1.502e+02  0.36522
0.00502  1.502e+02  0.36522
0.00503  1.502e+02  0.36522
0.00505  1.502e+02  0.36523
0.00507  1.502e+02  0.36523
0.00508  1.502e+02  0.36524
0.00510  1.502e+02  0.36524
0.00511  1.502e+02  0.36525
0.00513  1.502e+02  0.36525
0.00514  1.502e+02  0.36526
0.00516  1.502e+02  0.36526
0.00517  1.502e+02  0.36527
0.00519  1.502e+02  0.36527
0.00521  1.502e+02  0.36528
0.00522  1.502e+02  0.36528
0.00524  1.502e+02  0.36529
0.00526  1.502e+02  0.36529
0.00527  1.502e+02  0.36529
0.00529  1.502e+02  0.36530
0.00530  1.502e+02  0.36530
0.00532  1.502e+02  0.36531
0.00534  1.502e+02  0.36531
0.00535  1.502e+02  0.36532
0.00537  1.502e+02  0.36533
0.00539  1.502e+02  0.36533
0.00540  1.502e+02  0.36534
0.00542  1.502e+02  0.36534
0.00544  1.502e+02  0.36535
0.00545  1.502e+02  0.36535
0.00547  1.502e+02  0.36536
0.00549  1.502e+02  0.36536
0.00550  1.502e+02  0.36537
0.00552  1.502e+02  0.36537
0.00554  1.502e+02  0.36538
0.00555  1.502e+02  0.36538
0.00557  1.502e+02  0.36539
0.00559  1.502e+02  0.36539
0.00561  1.501e+02  0.36540
0.00562  1.501e+02  0.36541
0.00564  1.501e+02  0.36541
0.00566  1.501e+02  0.36542
0.00567  1.501e+02  0.36542
0.00569  1.501e+02  0.36543
0.00571  1.501e+02  0.36543
0.00573  1.501e+02  0.36544
0.00575  1.501e+02  0.36545
0.00576  1.501e+02  0.36545
0.00578  1.501e+02  0.36546
0.00580  1.501e+02  0.36546
0.00582  1.501e+02  0.36547
0.00583  1.501e+02  0.36547
0.00585  1.501e+02  0.36548
0.00587  1.501e+02  0.36549
0.00589  1.501e+02  0.36549
0.00591  1.501e+02  0.36550
0.00593  1.501e+02  0.36551
0.00594  1.501e+02  0.36551
0.00596  1.501e+02  0.36552
0.00598  1.501e+02  0.36552
0.00600  1.501e+02  0.36553
0.00602  1.501e+02  0.36554
0.00604  1.501e+02  0.36554
0.00605  1.501e+02  0.36555
0.00607  1.501e+02  0.36556
0.00609  1.501e+02  0.36556
0.00611  1.501e+02  0.36557
0.00613  1.501e+02  0.36558
0.00615  1.501e+02  0.36558
0.00617  1.501e+02  0.36559
0.00619  1.501e+02  0.36560
0.00621  1.501e+02  0.36560
0.00622  1.501e+02  0.36561
0.00624  1.501e+02  0.36562
0.00626  1.501e+02  0.36562
0.00628  1.501e+02  0.36563
0.00630  1.501e+02  0.36564
0.00632  1.501e+02  0.36564
0.00634  1.501e+02  0.36565
0.00636  1.501e+02  0.36566
0.00638  1.500e+02  0.36567
0.00640  1.500e+02  0.36567
0.00642  1.500e+02  0.36568
0.00644  1.500e+02  0.36569
0.00646  1.500e+02  0.36570
0.00648  1.500e+02  0.36570
0.00650  1.500e+02  0.36571
0.00652  1.500e+02  0.36572
0.00654  1.500e+02  0.36573
0.00656  1.500e+02  0.36573
0.00658  1.500e+02  0.36574
0.00660  1.500e+02  0.36575
0.00661  1.500e+02  0.36575
0.00663  1.500e+02  0.36576
0.00665  1.500e+02  0.36577
0.00667  1.500e+02  0.36578
0.00669  1.500e+02  0.36578
0.00671  1.500e+02  0.36579
0.00675  1.500e+02  0.36581
0.00679  1.500e+02  0.36582
0.00681  1.500e+02  0.36583
0.00684  1.500e+02  0.36584
0.00686  1.500e+02  0.36585
0.00690  1.500e+02  0.36586
0.00692  1.500e+02  0.36587
0.00695  1.500e+02  0.36589
0.00697  1.500e+02  0.36589
0.00701  1.500e+02  0.36591
0.00704  1.499e+02  0.36592
0.00706  1.499e+02  0.36593
0.00710  1.499e+02  0.36595
0.00712  1.499e+02  0.36596
0.00715  1.499e+02  0.36597
0.00717  1.499e+02  0.36598
0.00719  1.499e+02  0.36598
0.00721  1.499e+02  0.36599
0.00724  1.499e+02  0.36600
0.00726  1.499e+02  0.36601
0.00728  1.499e+02  0.36602
0.00732  1.499e+02  0.36604
0.00734  1.499e+02  0.36605
0.00738  1.499e+02  0.36606
0.00740  1.499e+02  0.36607
0.00744  1.499e+02  0.36609
0.00746  1.499e+02  0.36610
0.00749  1.499e+02  0.36611
0.00751  1.499e+02  0.36612
0.00754  1.499e+02  0.36613
0.00758  1.499e+02  0.36615
0.00763  1.499e+02  0.36617
0.00767  1.498e+02  0.36619
0.00769  1.498e+02  0.36620
0.00773  1.498e+02  0.36622
0.00775  1.498e+02  0.36623
0.00780  1.498e+02  0.36625
0.00782  1.498e+02  0.36626
0.00785  1.498e+02  0.36627
0.00787  1.498e+02  0.36628
0.00792  1.498e+02  0.36630
0.00795  1.498e+02  0.36631
0.00799  1.498e+02  0.36634
0.00802  1.498e+02  0.36635
0.00807  1.498e+02  0.36637
0.00812  1.498e+02  0.36640
0.00815  1.498e+02  0.36641
0.00820  1.498e+02  0.36643
0.00822  1.497e+02  0.36644
0.00828  1.497e+02  0.36647
0.00830  1.497e+02  0.36648
0.00835  1.497e+02  0.36651
0.00840  1.497e+02  0.36653
0.00843  1.497e+02  0.36654
0.00849  1.497e+02  0.36657
0.00851  1.497e+02  0.36658
0.00856  1.497e+02  0.36661
0.00862  1.497e+02  0.36664
0.00865  1.497e+02  0.36665
0.00870  1.497e+02  0.36668
0.00876  1.497e+02  0.36671
0.00878  1.496e+02  0.36672
0.00884  1.496e+02  0.36675
0.00886  1.496e+02  0.36676
0.00892  1.496e+02  0.36679
0.00898  1.496e+02  0.36682
0.00900  1.496e+02  0.36683
0.00906  1.496e+02  0.36686
0.00909  1.496e+02  0.36688
0.00915  1.496e+02  0.36691
0.00921  1.496e+02  0.36694
0.00923  1.496e+02  0.36695
0.00929  1.495e+02  0.36698
0.00932  1.495e+02  0.36700
0.00938  1.495e+02  0.36703
0.00944  1.495e+02  0.36706
0.00947  1.495e+02  0.36708
0.00953  1.495e+02  0.36711
0.00956  1.495e+02  0.36713
0.00962  1.495e+02  0.36716
0.00968  1.495e+02  0.36720
0.00971  1.495e+02  0.36721
0.00977  1.494e+02  0.36725
0.00980  1.494e+02  0.36727
0.00986  1.494e+02  0.36730
0.00992  1.494e+02  0.36734
0.00996  1.494e+02  0.36735
0.01002  1.494e+02  0.36739
0.01005  1.494e+02  0.36741
0.01011  1.494e+02  0.36745
0.01018  1.494e+02  0.36748
