# Magnus solar model BS05-OP
#
# Reference:  J. N. Bahcall, A. M. Serenelli and S. Basu, "New solar opacities, abundances, helioseismology, and neutrino fluxes", ApJ 621, L85 (2005), doi:10.1086/428929, astro-ph/0412440
# Source:     https://www.sns.ias.edu/~jnb/SNdata/Export/BS2005/bs05op.dat
# Original:   bs05op.dat
# Retrieved:  2026-09-23
# SHA-256:    61c1600f4a221d8ed4b553349a3cd8b46fc0d893141d39baa8c63f9570237a2a (of bs05op.dat)
# Terms:      "The files accessible here are available for general use. I would appreciate a note at your convenience telling me how you are using them." (J. N. Bahcall, https://www.sns.ias.edu/~jnb/SNdata/sndata.html)
# Modified:   columns extracted only -- radius [R_sun], rho_g_per_cm3, hydrogen mass fraction X --
#             each value copied from the original as written; nothing recomputed or rounded.
#             Built by tools/build_solar_model_tables.py.
# density_column: rho_g_per_cm3
#
# The original header follows, as the authors wrote it:
#
#   Standard Solar Model (BS2005-OP)
#
#   astro-ph/0412440
#
#   Columns in the Standard Model table (below) represent:
#
#   1)  Mass fraction in units of the solar mass
#   2)  Radius of the zone in units of one solar radius
#   3)  Temperature in units of deg (K)
#   4)  Density in units of g/cm^3
#   5)  Pressure in units of dyn/cm^2
#   6)  Luminosity fraction in units of the solar luminosity
#   7)  X(^1H): the hydrogen mass fraction
#   8)  X(^4He): the helium 4 mass fraction
#   9)  X(^3He): the helium 3 mass fraction
#   10) X(^12C): the carbon 12 mass fraction
#   11) X(^14N): the nitrogen 14 mass fraction
#   12) X(^16O): the oxygen 16 mass fraction
#
#   The Table begins here.
#
#
#     M/Msun    R/Rsun      T         Rho        P        L/Lsun      X      Y(He4)    He3      C12       N14       O16
#
# r_over_r_sun  rho_g_per_cm3  x_hydrogen
0.00160  1.529e+02  0.34608
0.00171  1.529e+02  0.34608
0.00181  1.529e+02  0.34609
0.00190  1.529e+02  0.34610
0.00199  1.529e+02  0.34610
0.00207  1.529e+02  0.34611
0.00214  1.529e+02  0.34612
0.00220  1.529e+02  0.34612
0.00227  1.529e+02  0.34613
0.00233  1.529e+02  0.34614
0.00239  1.529e+02  0.34614
0.00245  1.529e+02  0.34615
0.00250  1.529e+02  0.34616
0.00255  1.529e+02  0.34616
0.00261  1.529e+02  0.34617
0.00265  1.529e+02  0.34618
0.00270  1.529e+02  0.34618
0.00275  1.529e+02  0.34619
0.00279  1.529e+02  0.34620
0.00283  1.529e+02  0.34620
0.00287  1.529e+02  0.34621
0.00292  1.529e+02  0.34622
0.00296  1.529e+02  0.34622
0.00299  1.529e+02  0.34623
0.00303  1.529e+02  0.34624
0.00307  1.529e+02  0.34624
0.00311  1.528e+02  0.34625
0.00315  1.528e+02  0.34626
0.00318  1.528e+02  0.34626
0.00322  1.528e+02  0.34627
0.00326  1.528e+02  0.34628
0.00329  1.528e+02  0.34628
0.00332  1.528e+02  0.34629
0.00335  1.528e+02  0.34629
0.00339  1.528e+02  0.34630
0.00342  1.528e+02  0.34631
0.00345  1.528e+02  0.34631
0.00348  1.528e+02  0.34632
0.00351  1.528e+02  0.34633
0.00354  1.528e+02  0.34633
0.00357  1.528e+02  0.34634
0.00361  1.528e+02  0.34634
0.00364  1.528e+02  0.34635
0.00367  1.528e+02  0.34636
0.00371  1.528e+02  0.34637
0.00373  1.528e+02  0.34637
0.00375  1.528e+02  0.34638
0.00378  1.528e+02  0.34638
0.00380  1.528e+02  0.34639
0.00382  1.528e+02  0.34639
0.00385  1.528e+02  0.34640
0.00387  1.528e+02  0.34640
0.00390  1.528e+02  0.34641
0.00392  1.528e+02  0.34641
0.00395  1.528e+02  0.34642
0.00397  1.528e+02  0.34642
0.00399  1.528e+02  0.34643
0.00402  1.528e+02  0.34644
0.00404  1.528e+02  0.34644
0.00407  1.528e+02  0.34645
0.00409  1.528e+02  0.34645
0.00412  1.528e+02  0.34646
0.00415  1.528e+02  0.34647
0.00417  1.528e+02  0.34647
0.00420  1.528e+02  0.34648
0.00422  1.528e+02  0.34648
0.00425  1.528e+02  0.34649
0.00428  1.528e+02  0.34650
0.00430  1.527e+02  0.34650
0.00433  1.527e+02  0.34651
0.00436  1.527e+02  0.34652
0.00438  1.527e+02  0.34652
0.00441  1.527e+02  0.34653
0.00444  1.527e+02  0.34654
0.00447  1.527e+02  0.34655
0.00449  1.527e+02  0.34655
0.00452  1.527e+02  0.34656
0.00455  1.527e+02  0.34657
0.00458  1.527e+02  0.34658
0.00461  1.527e+02  0.34658
0.00464  1.527e+02  0.34659
0.00466  1.527e+02  0.34660
0.00468  1.527e+02  0.34660
0.00469  1.527e+02  0.34661
0.00471  1.527e+02  0.34661
0.00472  1.527e+02  0.34662
0.00474  1.527e+02  0.34662
0.00475  1.527e+02  0.34662
0.00477  1.527e+02  0.34663
0.00478  1.527e+02  0.34663
0.00480  1.527e+02  0.34664
0.00481  1.527e+02  0.34664
0.00483  1.527e+02  0.34664
0.00484  1.527e+02  0.34665
0.00486  1.527e+02  0.34665
0.00487  1.527e+02  0.34666
0.00488  1.527e+02  0.34666
0.00490  1.527e+02  0.34667
0.00492  1.527e+02  0.34667
0.00493  1.527e+02  0.34667
0.00495  1.527e+02  0.34668
0.00496  1.527e+02  0.34668
0.00498  1.527e+02  0.34669
0.00499  1.527e+02  0.34669
0.00501  1.527e+02  0.34670
0.00502  1.527e+02  0.34670
0.00504  1.527e+02  0.34671
0.00505  1.527e+02  0.34671
0.00507  1.527e+02  0.34671
0.00508  1.527e+02  0.34672
0.00510  1.527e+02  0.34672
0.00512  1.527e+02  0.34673
0.00513  1.527e+02  0.34673
0.00515  1.527e+02  0.34674
0.00516  1.527e+02  0.34674
0.00518  1.527e+02  0.34675
0.00520  1.526e+02  0.34675
0.00521  1.526e+02  0.34676
0.00523  1.526e+02  0.34676
0.00524  1.526e+02  0.34677
0.00526  1.526e+02  0.34677
0.00528  1.526e+02  0.34678
0.00529  1.526e+02  0.34678
0.00531  1.526e+02  0.34679
0.00532  1.526e+02  0.34679
0.00534  1.526e+02  0.34680
0.00536  1.526e+02  0.34680
0.00537  1.526e+02  0.34681
0.00539  1.526e+02  0.34681
0.00541  1.526e+02  0.34682
0.00542  1.526e+02  0.34682
0.00544  1.526e+02  0.34683
0.00546  1.526e+02  0.34684
0.00547  1.526e+02  0.34684
0.00549  1.526e+02  0.34685
0.00551  1.526e+02  0.34685
0.00552  1.526e+02  0.34686
0.00554  1.526e+02  0.34686
0.00556  1.526e+02  0.34687
0.00558  1.526e+02  0.34687
0.00559  1.526e+02  0.34688
0.00561  1.526e+02  0.34689
0.00563  1.526e+02  0.34689
0.00564  1.526e+02  0.34690
0.00566  1.526e+02  0.34690
0.00568  1.526e+02  0.34691
0.00570  1.526e+02  0.34691
0.00571  1.526e+02  0.34692
0.00573  1.526e+02  0.34693
0.00575  1.526e+02  0.34693
0.00577  1.526e+02  0.34694
0.00578  1.526e+02  0.34694
0.00580  1.526e+02  0.34695
0.00582  1.526e+02  0.34696
0.00584  1.526e+02  0.34696
0.00586  1.526e+02  0.34697
0.00588  1.526e+02  0.34698
0.00589  1.526e+02  0.34698
0.00591  1.526e+02  0.34699
0.00593  1.526e+02  0.34699
0.00595  1.526e+02  0.34700
0.00597  1.525e+02  0.34701
0.00598  1.525e+02  0.34701
0.00600  1.525e+02  0.34702
0.00602  1.525e+02  0.34703
0.00604  1.525e+02  0.34703
0.00606  1.525e+02  0.34704
0.00608  1.525e+02  0.34705
0.00609  1.525e+02  0.34705
0.00611  1.525e+02  0.34706
0.00613  1.525e+02  0.34707
0.00615  1.525e+02  0.34707
0.00617  1.525e+02  0.34708
0.00619  1.525e+02  0.34709
0.00621  1.525e+02  0.34710
0.00623  1.525e+02  0.34710
0.00625  1.525e+02  0.34711
0.00627  1.525e+02  0.34712
0.00629  1.525e+02  0.34712
0.00631  1.525e+02  0.34713
0.00633  1.525e+02  0.34714
0.00634  1.525e+02  0.34715
0.00636  1.525e+02  0.34715
0.00638  1.525e+02  0.34716
0.00640  1.525e+02  0.34717
0.00642  1.525e+02  0.34718
0.00644  1.525e+02  0.34718
0.00646  1.525e+02  0.34719
0.00648  1.525e+02  0.34720
0.00650  1.525e+02  0.34721
0.00652  1.525e+02  0.34721
0.00654  1.525e+02  0.34722
0.00656  1.525e+02  0.34723
0.00658  1.525e+02  0.34724
0.00660  1.525e+02  0.34724
0.00662  1.525e+02  0.34725
0.00664  1.525e+02  0.34726
0.00666  1.524e+02  0.34727
0.00668  1.524e+02  0.34727
0.00671  1.524e+02  0.34729
0.00673  1.524e+02  0.34730
0.00677  1.524e+02  0.34731
0.00681  1.524e+02  0.34733
0.00682  1.524e+02  0.34733
0.00686  1.524e+02  0.34735
0.00688  1.524e+02  0.34736
0.00691  1.524e+02  0.34737
0.00693  1.524e+02  0.34738
0.00697  1.524e+02  0.34739
0.00699  1.524e+02  0.34740
0.00703  1.524e+02  0.34742
0.00706  1.524e+02  0.34743
0.00709  1.524e+02  0.34744
0.00711  1.524e+02  0.34745
0.00713  1.524e+02  0.34746
0.00715  1.524e+02  0.34747
0.00718  1.524e+02  0.34748
0.00720  1.524e+02  0.34749
0.00722  1.524e+02  0.34750
0.00726  1.523e+02  0.34752
0.00730  1.523e+02  0.34753
0.00734  1.523e+02  0.34755
0.00736  1.523e+02  0.34756
0.00740  1.523e+02  0.34758
0.00742  1.523e+02  0.34759
0.00745  1.523e+02  0.34760
0.00747  1.523e+02  0.34761
0.00750  1.523e+02  0.34762
0.00754  1.523e+02  0.34764
0.00759  1.523e+02  0.34766
0.00763  1.523e+02  0.34768
0.00765  1.523e+02  0.34769
0.00769  1.523e+02  0.34771
0.00771  1.523e+02  0.34772
0.00775  1.523e+02  0.34774
0.00778  1.523e+02  0.34775
0.00780  1.523e+02  0.34776
0.00783  1.523e+02  0.34777
0.00788  1.522e+02  0.34779
0.00790  1.522e+02  0.34780
0.00795  1.522e+02  0.34783
0.00798  1.522e+02  0.34784
0.00803  1.522e+02  0.34786
0.00808  1.522e+02  0.34789
0.00810  1.522e+02  0.34790
0.00815  1.522e+02  0.34792
0.00818  1.522e+02  0.34794
0.00823  1.522e+02  0.34796
0.00828  1.522e+02  0.34799
0.00831  1.522e+02  0.34800
0.00836  1.522e+02  0.34802
0.00839  1.521e+02  0.34804
